accepted_name,registro_dep
Coreopsis tinctoria,Amazonas
Coreopsis helleborifolia,Cajamarca
Coreopsis holodasya,Apurímac
Coreopsis imbricata,Ayacucho
Coreopsis integra,Cajamarca
Coreopsis integra,Huánuco
Coreopsis integra,La Libertad
Coreopsis integra,Piura
Coreopsis irmscheriana,Arequipa
Coreopsis killipii,Junín
Coreopsis lopez-mirandae,Amazonas
Coreopsis macbridei,Huánuco
Coreopsis microlepis,Amazonas
Coreopsis microlepis,Cajamarca
Coreopsis microlepis,Huánuco
Coreopsis nodosa,Cusco
Coreopsis oblanceolata,Cajamarca
Coreopsis oblanceolata,Piura
Coreopsis obovatifolia,Cajamarca
Coreopsis parviceps,Cajamarca
Coreopsis peruviana,Cajamarca
Coreopsis pervelutina,Cajamarca
Coreopsis piurana,Piura
Coreopsis poloe,La Libertad
Coreopsis polyactis,La Libertad
Coreopsis senaria,Amazonas
Coreopsis senaria,Cajamarca
Coreopsis senaria,La Libertad
Coreopsis sherffii,Áncash
Coreopsis sherffii,Cajamarca
Coreopsis sherffii,Huánuco
Coreopsis sherffii,La Libertad
Coreopsis woytkowskii,Amazonas
Coreopsis woytkowskii,Cajamarca
Critoniopsis ayabacensis,Piura
Critoniopsis gynoxiifolia,Cusco
Critoniopsis jalcana,Amazonas
Critoniopsis jalcana,Cajamarca
Critoniopsis jelskii,Amazonas
Critoniopsis jelskii,Cajamarca
Critoniopsis jelskii,Pasco
Critoniopsis macrofoliata,Cajamarca
Critoniopsis oblongifolia,Cajamarca
Critoniopsis paucartambensis,Cusco
Critoniopsis paucartambensis,Puno
Critoniopsis peruviana,Huánuco
Critoniopsis quillonensis,Cajamarca
Critoniopsis sagasteguii,Cajamarca
Critoniopsis woytkowskii,Lambayeque
